plant_species,plant_genotype,plant_id,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA)
rice,Pho1[-N]#10,2,250,1.0,0.5193590702146761,0.2155278724240237,0.0002539635072539,0.3038311977906524,0.2152739089167697,0.4806409297853239
rice,Pho1[-N]#10,2,500,1.0,0.6264230465767194,0.3624507826272172,-0.0027917343175958,0.2639722639495022,0.365242516944813,0.3735769534232805
rice,Pho1[-N]#10,2,1000,1.0,0.731315703480314,0.5220403736465807,-0.0006408217055321,0.2092753298337333,0.5226811953521129,0.2686842965196859
rice,Pho1[-N]#10,2,1700,1.0,0.6488828034852222,0.5274841602562573,-0.0027422667879516,0.1213986432289648,0.530226427044209,0.3511171965147778
rice,Pho1[-N]#1,1,250,1.0,0.5755151397309902,0.2140884745695003,0.0021159707870612,0.3614266651614899,0.211972503782439,0.4244848602690098
rice,Pho1[-N]#1,1,500,1.0,0.5885078109912494,0.2900101939520239,0.0019161169646241,0.2984976170392254,0.2880940769873998,0.4114921890087506
rice,Pho1[-N]#1,1,1000,1.0,0.7108731873542656,0.5034939467800449,0.002916269482655,0.2073792405742207,0.5005776772973898,0.2891268126457343
rice,Pho1[-N]#1,1,1700,1.0,0.7585490667953316,0.6429548688334158,0.0001982419308196,0.1155941979619158,0.6427566269025962,0.2414509332046683
rice,Pho1[-N]#1,2,250,1.0,0.5841477651731984,0.2232263669487724,0.0019995138699364,0.360921398224426,0.221226853078836,0.4158522348268015
rice,Pho1[-N]#1,2,500,1.0,0.5818340762859547,0.2768188653045,0.0001766731903867,0.3050152109814547,0.2766421921141133,0.4181659237140452
rice,Pho1[-N]#1,2,1000,1.0,0.6848232242234216,0.4726620415814869,-0.0009120268156593,0.2121611826419346,0.4735740683971462,0.3151767757765784
rice,Pho1[-N]#1,2,1700,1.0,0.691611796249375,0.607041305957221,0.0040022764760771,0.084570490292154,0.6030390294811437,0.308388203750625
rice,Pho1[-N]#22,1,250,1.0,0.5427862977264831,0.1969418982054703,-0.0002009367745747,0.3458443995210128,0.197142834980045,0.4572137022735169
rice,Pho1[-N]#22,1,500,1.0,0.5466799166598063,0.2319210517003629,-0.0016295974187658,0.3147588649594434,0.2335506491191288,0.4533200833401937
rice,Pho1[-N]#22,1,1000,1.0,0.6467399508011958,0.4148974896880979,0.0001118099538373,0.2318424611130979,0.4147856797342605,0.3532600491988041
rice,Pho1[-N]#22,1,1700,1.0,0.7241124744903035,0.5819347632902646,-0.0007387651405091,0.1421777112000388,0.5826735284307737,0.2758875255096965
rice,Pho1[-N]#22,2,250,1.0,0.4805053599283828,0.2190375806336437,0.0012560039736668,0.2614677792947391,0.2177815766599768,0.5194946400716172
rice,Pho1[-N]#22,2,500,1.0,0.5450591277804153,0.3263085016675495,-0.0030352962367358,0.2187506261128657,0.3293437979042854,0.4549408722195847
rice,Pho1[-N]#22,2,1000,1.0,0.5706536403384224,0.4187965904195638,-0.0013350567072623,0.1518570499188585,0.4201316471268262,0.4293463596615776
rice,Pho1[-N]#22,2,1700,1.0,0.5243527973582328,0.4365990884645387,-0.0018207657698922,0.087753708893694,0.438419854234431,0.4756472026417672
rice,Pho1[-N]#6,1,250,1.0,0.6281026917693913,0.240417838125744,0.0016381141844375,0.3876848536436472,0.2387797239413065,0.3718973082306087
rice,Pho1[-N]#6,1,500,1.0,0.6454349670408323,0.3147949437339815,-0.0001853861014216,0.3306400233068507,0.3149803298354031,0.3545650329591677
rice,Pho1[-N]#6,1,1000,1.0,0.7488830780447331,0.5108683754889245,0.0013429905859554,0.2380147025558086,0.5095253849029691,0.2511169219552669
rice,Pho1[-N]#6,1,1700,1.0,0.8286756591756069,0.6926719804127375,0.0044598165781112,0.1360036787628694,0.6882121638346261,0.171324340824393
rice,Pho1[-N]#6,2,250,1.0,0.6212887175413487,0.2204682028541459,0.0019576602739984,0.4008205146872028,0.2185105425801475,0.3787112824586512
rice,Pho1[-N]#6,2,500,1.0,0.6358141897253383,0.2931793899552737,0.0031758472484214,0.3426347997700645,0.2900035427068523,0.3641858102746617
rice,Pho1[-N]#6,2,1000,1.0,0.7295190840791558,0.5092221520498049,-3.713053694494026e-05,0.2202969320293508,0.5092592825867499,0.2704809159208442
rice,Pho1[-N]#6,2,1700,1.0,0.8665938532160408,0.7064635023580886,-0.0004458307833469,0.1601303508579521,0.7069093331414356,0.1334061467839592
