,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id
847,artifact,4455.0,485.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.455,rice,4191_2_DA.json,0
848,artifact,4460.0,490.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.46,rice,4191_2_DA.json,0
849,artifact,4465.0,495.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.465,rice,4191_2_DA.json,0
850,artifact,4470.0,500.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.47,rice,4191_2_DA.json,0
851,artifact,4475.0,505.0,530nm,1,20240618_061824_maize_4191_2_DA,3,4.475,rice,4191_2_DA.json,0
852,artifact,4480.0,510.0,530nm,3,20240618_061824_maize_4191_2_DA,3,4.48,rice,4191_2_DA.json,0
853,artifact,4485.0,515.0,530nm,9,20240618_061824_maize_4191_2_DA,3,4.485,rice,4191_2_DA.json,0
854,artifact,4490.0,520.0,530nm,15,20240618_061824_maize_4191_2_DA,3,4.49,rice,4191_2_DA.json,0
855,artifact,4495.0,525.0,530nm,23,20240618_061824_maize_4191_2_DA,3,4.495,rice,4191_2_DA.json,0
856,artifact,4500.0,530.0,530nm,27,20240618_061824_maize_4191_2_DA,3,4.5,rice,4191_2_DA.json,0
857,artifact,4505.0,535.0,530nm,29,20240618_061824_maize_4191_2_DA,3,4.505,rice,4191_2_DA.json,0
858,artifact,4510.0,540.0,530nm,27,20240618_061824_maize_4191_2_DA,3,4.51,rice,4191_2_DA.json,0
859,artifact,4515.0,545.0,530nm,26,20240618_061824_maize_4191_2_DA,3,4.515,rice,4191_2_DA.json,0
860,artifact,4520.0,550.0,530nm,21,20240618_061824_maize_4191_2_DA,3,4.52,rice,4191_2_DA.json,0
861,artifact,4525.0,555.0,530nm,25,20240618_061824_maize_4191_2_DA,3,4.525,rice,4191_2_DA.json,0
862,artifact,4530.0,560.0,530nm,20,20240618_061824_maize_4191_2_DA,3,4.53,rice,4191_2_DA.json,0
863,artifact,4535.0,565.0,530nm,19,20240618_061824_maize_4191_2_DA,3,4.535,rice,4191_2_DA.json,0
864,artifact,4540.0,570.0,530nm,18,20240618_061824_maize_4191_2_DA,3,4.54,rice,4191_2_DA.json,0
865,artifact,4545.0,575.0,530nm,19,20240618_061824_maize_4191_2_DA,3,4.545,rice,4191_2_DA.json,0
866,artifact,4550.0,580.0,530nm,13,20240618_061824_maize_4191_2_DA,3,4.55,rice,4191_2_DA.json,0
867,artifact,4555.0,585.0,530nm,16,20240618_061824_maize_4191_2_DA,3,4.555,rice,4191_2_DA.json,0
868,artifact,4560.0,590.0,530nm,18,20240618_061824_maize_4191_2_DA,3,4.56,rice,4191_2_DA.json,0
869,artifact,4565.0,595.0,530nm,14,20240618_061824_maize_4191_2_DA,3,4.565,rice,4191_2_DA.json,0
870,artifact,4570.0,600.0,530nm,11,20240618_061824_maize_4191_2_DA,3,4.57,rice,4191_2_DA.json,0
871,artifact,4575.0,605.0,530nm,15,20240618_061824_maize_4191_2_DA,3,4.575,rice,4191_2_DA.json,0
872,artifact,4580.0,610.0,530nm,15,20240618_061824_maize_4191_2_DA,3,4.58,rice,4191_2_DA.json,0
873,artifact,4585.0,615.0,530nm,13,20240618_061824_maize_4191_2_DA,3,4.585,rice,4191_2_DA.json,0
874,artifact,4590.0,620.0,530nm,17,20240618_061824_maize_4191_2_DA,3,4.59,rice,4191_2_DA.json,0
875,artifact,4595.0,625.0,530nm,14,20240618_061824_maize_4191_2_DA,3,4.595,rice,4191_2_DA.json,0
876,artifact,4600.0,630.0,530nm,15,20240618_061824_maize_4191_2_DA,3,4.6,rice,4191_2_DA.json,0
