,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id
148,p700_reference,766.0,740.0,820nm,52989,20240623_062324_maize_HC69_3_DA,0,0.766,rice,HC69_3_DA.json,0
149,p700_reference,771.0,745.0,820nm,52979,20240623_062324_maize_HC69_3_DA,0,0.771,rice,HC69_3_DA.json,0
150,p700_reference,776.0,750.0,820nm,52991,20240623_062324_maize_HC69_3_DA,0,0.776,rice,HC69_3_DA.json,0
151,p700_reference,781.0,755.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.781,rice,HC69_3_DA.json,0
152,p700_reference,786.0,760.0,820nm,52991,20240623_062324_maize_HC69_3_DA,0,0.786,rice,HC69_3_DA.json,0
153,p700_reference,791.0,765.0,820nm,52984,20240623_062324_maize_HC69_3_DA,0,0.791,rice,HC69_3_DA.json,0
154,p700_reference,796.0,770.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.796,rice,HC69_3_DA.json,0
155,p700_reference,801.0,775.0,820nm,52992,20240623_062324_maize_HC69_3_DA,0,0.801,rice,HC69_3_DA.json,0
156,p700_reference,806.0,780.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.806,rice,HC69_3_DA.json,0
157,p700_reference,811.0,785.0,820nm,52993,20240623_062324_maize_HC69_3_DA,0,0.811,rice,HC69_3_DA.json,0
158,p700_reference,816.0,790.0,820nm,53005,20240623_062324_maize_HC69_3_DA,0,0.816,rice,HC69_3_DA.json,0
159,p700_reference,821.0,795.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.821,rice,HC69_3_DA.json,0
160,p700_reference,826.0,800.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.826,rice,HC69_3_DA.json,0
161,p700_reference,831.0,805.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.831,rice,HC69_3_DA.json,0
162,p700_reference,836.0,810.0,820nm,52983,20240623_062324_maize_HC69_3_DA,0,0.836,rice,HC69_3_DA.json,0
163,p700_reference,841.0,815.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.841,rice,HC69_3_DA.json,0
164,p700_reference,846.0,820.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.846,rice,HC69_3_DA.json,0
165,p700_reference,851.0,825.0,820nm,52981,20240623_062324_maize_HC69_3_DA,0,0.851,rice,HC69_3_DA.json,0
166,p700_reference,856.0,830.0,820nm,52983,20240623_062324_maize_HC69_3_DA,0,0.856,rice,HC69_3_DA.json,0
167,p700_reference,861.0,835.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.861,rice,HC69_3_DA.json,0
168,p700_reference,866.0,840.0,820nm,52993,20240623_062324_maize_HC69_3_DA,0,0.866,rice,HC69_3_DA.json,0
169,p700_reference,871.0,845.0,820nm,52990,20240623_062324_maize_HC69_3_DA,0,0.871,rice,HC69_3_DA.json,0
170,p700_reference,876.0,850.0,820nm,52989,20240623_062324_maize_HC69_3_DA,0,0.876,rice,HC69_3_DA.json,0
171,p700_reference,881.0,855.0,820nm,52981,20240623_062324_maize_HC69_3_DA,0,0.881,rice,HC69_3_DA.json,0
172,p700_reference,886.0,860.0,820nm,53002,20240623_062324_maize_HC69_3_DA,0,0.886,rice,HC69_3_DA.json,0
173,p700_reference,891.0,865.0,820nm,53005,20240623_062324_maize_HC69_3_DA,0,0.891,rice,HC69_3_DA.json,0
174,p700_reference,896.0,870.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.896,rice,HC69_3_DA.json,0
175,p700_reference,901.0,875.0,820nm,52981,20240623_062324_maize_HC69_3_DA,0,0.901,rice,HC69_3_DA.json,0
176,p700_reference,906.0,880.0,820nm,52991,20240623_062324_maize_HC69_3_DA,0,0.906,rice,HC69_3_DA.json,0
