plant_species,plant_genotype,plant_id,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA)
rice,4193_4_DA.json,0,250,1.0,0.45839259501029,0.1469330955616466,0.0011551303947397,0.3114594994486434,0.1457779651669068,0.5416074049897099
rice,4193_4_DA.json,0,500,1.0,0.6094326137420161,0.289354705297725,-0.000219953341728,0.320077908444291,0.289574658639453,0.3905673862579839
rice,4193_4_DA.json,0,1000,1.0,0.782368545873007,0.5111363140692213,-0.003550956778101,0.2712322318037856,0.5146872708473224,0.217631454126993
rice,4193_4_DA.json,0,1700,1.0,0.8858429283622796,0.6958928996050383,0.003306126053962,0.1899500287572413,0.6925867735510762,0.1141570716377203
rice,4193_5_DA.json,0,250,1.0,0.395693284956254,0.1054343246926422,0.0012619267909072,0.2902589602636117,0.104172397901735,0.604306715043746
rice,4193_5_DA.json,0,500,1.0,0.5132205154619923,0.2115197165908139,-0.0006433438599112,0.3017007988711784,0.2121630604507251,0.4867794845380077
rice,4193_5_DA.json,0,1000,1.0,0.7134010176079549,0.4472471471284509,0.0023361002898686,0.266153870479504,0.4449110468385822,0.286598982392045
rice,4193_5_DA.json,0,1700,1.0,0.7941806171308926,0.6149302652905788,0.0023112687244805,0.1792503518403138,0.6126189965660983,0.2058193828691074
rice,HC69_1_DA.json,0,250,1.0,0.4060689130335295,0.0918476722395007,-0.0004349888480269,0.3142212407940288,0.0922826610875276,0.5939310869664705
rice,HC69_1_DA.json,0,500,1.0,0.4922459411912471,0.1910267143800654,0.0038058782780491,0.3012192268111816,0.1872208361020163,0.5077540588087529
rice,HC69_1_DA.json,0,1000,1.0,0.6333898845054425,0.3711172236362581,-0.0002322652739186,0.2622726608691844,0.3713494889101768,0.3666101154945574
rice,HC69_1_DA.json,0,1700,1.0,0.8160547525574343,0.6288630918366084,-0.0004659189032822,0.1871916607208259,0.6293290107398906,0.1839452474425656
rice,HC69_2_DA.json,0,250,1.0,0.4180646830682684,0.1133701606703161,4.712955056839995e-05,0.3046945223979522,0.1133230311197477,0.5819353169317316
rice,HC69_2_DA.json,0,500,1.0,0.4957812011837357,0.201090687054001,-0.0002538498174688,0.2946905141297347,0.2013445368714698,0.5042187988162643
rice,HC69_2_DA.json,0,1000,1.0,0.6262302996754604,0.3664845495200353,-0.0027090060261206,0.259745750155425,0.3691935555461559,0.3737697003245396
rice,HC69_2_DA.json,0,1700,1.0,0.8230886120718633,0.6309249209606493,0.0026878442761006,0.192163691111214,0.6282370766845486,0.1769113879281366
rice,HC69_3_DA.json,0,250,1.0,0.4156626265126207,0.1070124178552792,0.0010896654088218,0.3086502086573414,0.1059227524464574,0.5843373734873794
rice,HC69_3_DA.json,0,500,1.0,0.5173696606503987,0.18920492918876,0.002864483220382,0.3281647314616386,0.1863404459683779,0.4826303393496013
rice,HC69_3_DA.json,0,1000,1.0,0.6223269096413635,0.3675453325576915,0.0036933813378721,0.2547815770836719,0.3638519512198194,0.3776730903586365
rice,HC69_3_DA.json,0,1700,1.0,0.7484734400524874,0.5667347897635139,0.0021788886311003,0.1817386502889735,0.5645559011324135,0.2515265599475126
rice,HC69_4_DA.json,0,250,1.0,0.3803378930818306,0.1067107459080354,0.0013014289695991,0.2736271471737951,0.1054093169384362,0.6196621069181694
